id,x,y,diameter,orientation_x,orientation_y,orientation_z
186,-18.3403,-29.0298,0.0819,-0.0323,0.0204,0.9993
187,-14.5712,-31.2368,0.0757,-0.0155,-0.112,0.9936
188,-23.8606,-25.7792,0.0646,0.0558,0.0072,0.9984
189,-22.8168,-26.4317,0.0684,0.0556,-0.0283,0.9981
190,-21.8953,-26.9327,0.0632,0.0642,-0.0231,0.9977
191,-20.1007,-27.9786,0.078,0.0149,-0.0231,0.9996
192,-16.5178,-30.0833,0.0793,-0.0241,0.0143,0.9996
193,-24.0511,-18.7426,0.0524,0.0115,-0.0152,0.9998
194,-19.9831,-31.4522,0.0795,-0.0158,0.0482,0.9987
195,-19.0716,-31.9723,0.0896,-0.0357,-0.0145,0.9993
196,-13.6514,-31.7565,0.078,0.0279,-0.08,0.9964
197,-11.0493,-29.768,0.065,0.0111,-0.0341,0.9994
198,-12.7463,-32.2805,0.0674,-0.011,-0.0421,0.9991
199,-21.7521,-30.4134,0.079,0.0314,0.027,0.9991
200,-24.7574,-25.2263,0.0578,0.0153,-0.005,0.9999
201,-18.1666,-32.5099,0.0883,0.0078,0.0044,1.0
202,-17.1352,-33.1,0.0787,0.0243,-0.059,0.998
203,-16.1954,-33.6331,0.074,0.0428,-0.0074,0.9991
204,-9.2722,-30.7859,0.061,0.0938,0.1601,0.9826
205,-25.6653,-24.6944,0.0583,0.0059,-0.0007,1.0
206,-24.4725,-28.8581,0.0676,0.0317,-0.0407,0.9987
207,-22.6529,-29.8922,0.0773,0.0063,-0.0433,0.999
208,-15.279,-34.1557,0.075,0.0146,-0.0447,0.9989
209,-25.7162,-21.1833,0.0482,0.0318,0.1059,0.9939
210,-25.5076,-28.2154,0.0731,0.0015,0.0411,0.9992
211,-20.7575,-34.4762,0.0875,0.0003,0.0058,1.0
212,-18.7991,-35.5983,0.0742,0.0348,-0.0522,0.998
213,-14.3798,-34.6776,0.0704,0.0015,-0.0308,0.9995
214,-26.4239,-27.6836,0.0644,0.0105,-0.0237,0.9997
215,-23.5426,-29.3745,0.0655,0.1072,-0.0351,0.9936
